"fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
9,0,5395.03328450521,146062.155531141,3661.69995117188,2006.59997558594,6,"MERTK","0"
9,0,5406.21346028646,146395.595594618,3672.88012695312,2340.0400390625,6,"PTK2","0"
9,0,5444.29353841146,146463.835584852,3710.96020507812,2408.28002929688,6,"CFD","Membrane"
9,0,5395.23347981771,146550.130506727,3661.90014648438,2494.57495117188,6,"MALAT1","0"
9,0,5459.88338216146,146486.888929579,3726.55004882812,2431.33337402344,6,"S100A6","0"
9,0,5397.41341145833,146406.615492079,3664.080078125,2351.05993652344,6,"S100A8","0"
9,0,5374.32698567708,146293.786634657,3640.99365234375,2238.23107910156,6,"SQSTM1","0"
9,0,5411.32478841146,146342.45557997,3677.99145507812,2286.90002441406,6,"S100A6","0"
9,0,5449.49348958333,146485.875501845,3716.16015625,2430.31994628906,6,"RPL21","0"
9,0,5377.86189778646,146405.798475477,3644.52856445312,2350.24291992188,6,"SLPI","Membrane"
9,0,5424.44978841146,146370.855604384,3691.11645507812,2315.30004882812,6,"IFITM1","0"
9,0,5410.19319661458,146391.575697157,3676.85986328125,2336.02014160156,6,"MIF","0"
9,0,5426.51912434896,146397.655531141,3693.18579101562,2342.09997558594,6,"ITGA5","Membrane"
9,0,5509.26643880208,146598.81104872,3775.93310546875,2543.25549316406,6,"VEGFA","0"
9,0,5411.09309895833,146409.815565321,3677.759765625,2354.26000976562,6,"SOX9","0"
9,0,5405.15828450521,146414.105604384,3671.82495117188,2358.55004882812,6,"KRT17","0"
9,0,5586.05013020833,146483.838880751,3852.716796875,2428.28332519531,6,"IL2","0"
9,0,5534.56673177083,146559.95557997,3801.2333984375,2504.40002441406,6,"EZR","0"
9,0,5452.29768880208,146565.255628798,3718.96435546875,2509.70007324219,6,"TNFRSF12A","0"
9,0,5525.44783528646,146566.484144423,3792.11450195312,2510.92858886719,6,"HCST","Membrane"
9,0,5291.98958333333,146630.974256727,3558.65625,2575.41870117188,6,"PCNA","0"
9,0,5576.77351888021,146222.925428602,3843.44018554688,2167.36987304688,6,"ICAM2","0"
9,0,5385.11678059896,146519.105482313,3651.78344726562,2463.54992675781,6,"HSPB1","0"
9,0,5394.01912434896,146514.798475477,3660.68579101562,2459.24291992188,6,"HLA-C","0"
9,0,5435.10823567708,146408.805555556,3701.77490234375,2353.25,6,"COL9A2","0"
9,0,5390.46980794271,146419.719129774,3657.13647460938,2364.16357421875,6,"S100A8","0"
9,0,5399.35823567708,146389.630506727,3666.02490234375,2334.07495117188,6,"CD63","0"
9,0,5457.48347981771,146314.489027235,3724.15014648438,2258.93347167969,6,"P2RY12","0"
9,0,5509.57307942708,146581.995619032,3776.23974609375,2526.44006347656,6,"IGKC","0"
9,0,5606.49348958333,146489.495619032,3873.16015625,2433.94006347656,6,"COL17A1","Membrane"
9,0,5520.10481770833,146571.498304579,3786.771484375,2515.94274902344,6,"MZT2A","0"
9,0,5320.98323567708,146630.965467665,3587.64990234375,2575.40991210938,6,"IL32","0"
9,0,5647.43343098958,146596.315565321,3914.10009765625,2540.76000976562,6,"FZD5","Nuclear"
9,0,5436.93367513021,146505.805555556,3703.60034179688,2450.25,6,"STAT3","0"
9,0,5503.03328450521,146579.33057997,3769.69995117188,2523.77502441406,6,"CYSTM1","0"
9,0,5392.79353841146,146420.13551161,3659.46020507812,2364.57995605469,6,"GDF3","0"
9,0,5345.56184895833,146405.327039931,3612.228515625,2349.771484375,6,"S100A4","0"
9,0,5542.13313802083,146589.338880751,3808.7998046875,2533.78332519531,6,"MALAT1","Nuclear"
9,0,5410.55843098958,146443.280653212,3677.22509765625,2387.72509765625,6,"S100A9","0"
9,0,5410.15315755208,146413.735609266,3676.81982421875,2358.18005371094,6,"TNFRSF13B","0"
9,0,5465.50813802083,146408.45557997,3732.1748046875,2352.90002441406,6,"GSTP1","0"
9,0,5437.93343098958,146417.79554579,3704.60009765625,2362.23999023438,6,"GSTP1","0"
9,0,5208.56673177083,146568.533338759,3475.2333984375,2512.97778320312,6,"VIM","0"
9,0,5367.05843098958,146299.055555556,3633.72509765625,2243.5,6,"CLEC4D","0"
9,0,5550.70003255208,146590.266737196,3817.36669921875,2534.71118164062,6,"FAS","Nuclear"
9,0,5201.15828450521,146566.730482313,3467.82495117188,2511.17492675781,6,"WNT5A","0"
9,0,5386.37312825521,146389.935560438,3653.03979492188,2334.38000488281,6,"HSPB1","0"
9,0,5455.77620442708,146428.155409071,3722.44287109375,2372.59985351562,6,"KRT1","0"
9,0,5531.99348958333,146597.475599501,3798.66015625,2541.92004394531,6,"MZT2A","Nuclear"
9,0,5376.01912434896,146394.355482313,3642.68579101562,2338.79992675781,6,"CHI3L1","0"
9,0,5367.78328450521,146584.405531141,3634.44995117188,2528.84997558594,6,"CENPF","0"
9,0,5198.74251302083,146566.882826063,3465.4091796875,2511.32727050781,6,"CENPF","0"
9,0,5305.14998372396,146630.805555556,3571.81665039062,2575.25,6,"HLA-DQA1","0"
9,0,5407.20833333333,146393.155531141,3673.875,2337.59997558594,6,"LGALS1","0"
9,0,5409.39998372396,146385.872328016,3676.06665039062,2330.31677246094,6,"JAG1","0"
9,0,5366.39339192708,146438.445448134,3633.06005859375,2382.88989257812,6,"ANXA1","0"
9,0,5438.71370442708,146420.025526259,3705.38037109375,2364.46997070312,6,"S100A6","0"
9,0,5184.88338216146,146205.465467665,3451.55004882812,2149.90991210938,6,"RPL22","Nuclear"
9,0,5447.86653645833,146383.905531141,3714.533203125,2328.34997558594,6,"KRT6A","0"
9,0,5381.13338216146,146440.243055556,3647.80004882812,2384.6875,6,"S100A6","Membrane"
9,0,5392.33333333333,146557.530653212,3659,2501.97509765625,6,"LGALS1","Membrane"
9,0,5178.17317708333,146566.555555556,3444.83984375,2511,6,"ETV4","Membrane"
9,0,5191.04573567708,146579.193006727,3457.71240234375,2523.63745117188,6,"TLR4","0"
9,0,5422.53304036458,146344.055555556,3689.19970703125,2288.5,6,"SEC23A","Membrane"
9,0,5428.04768880208,146496.398451063,3694.71435546875,2440.84289550781,6,"EGFR","0"
9,0,5511.49031575521,146583.427015516,3778.15698242188,2527.87145996094,6,"SMAD2","0"
9,0,5387.43343098958,146569.818006727,3654.10009765625,2514.26245117188,6,"CCL8","0"
9,0,5472.21346028646,146412.075575087,3738.88012695312,2356.52001953125,6,"ADM2","0"
9,0,5209.47615559896,146562.755506727,3476.14282226562,2507.19995117188,6,"CD74","0"
9,0,5625.31111653646,146547.677747938,3891.97778320312,2492.12219238281,6,"VEGFA","Nuclear"
9,0,5152.09065755208,146390.427015516,3418.75732421875,2334.87145996094,6,"IFNGR2","0"
9,0,5520.54768880208,146570.584120009,3787.21435546875,2515.02856445312,6,"MZT2A","0"
9,0,5437.88313802083,146507.338880751,3704.5498046875,2451.78332519531,6,"RBPJ","0"
9,0,5547.99348958333,146469.915540907,3814.66015625,2414.35998535156,6,"KRT7","0"
9,0,5363.86702473958,146443.822157118,3630.53369140625,2388.2666015625,6,"HSPB1","0"
9,0,5630.22347005208,146573.215589735,3896.89013671875,2517.66003417969,6,"PTK2","0"
9,0,5422.16658528646,146512.52223036,3688.83325195312,2456.96667480469,6,"PSAP","0"
9,0,5394.33333333333,146369.70557997,3661,2314.15002441406,6,"S100A10","0"
9,0,5608.39998372396,146545.505628798,3875.06665039062,2489.95007324219,6,"TNFRSF12A","0"
9,0,5422.64339192708,146498.555555556,3689.31005859375,2443,6,"NEAT1","0"
9,0,5437.63338216146,146417.29554579,3704.30004882812,2361.73999023438,6,"IFITM3","0"
9,0,5544.17635091146,146589.841322157,3810.84301757812,2534.28576660156,6,"HILPDA","Nuclear"
9,0,5366.41658528646,146570.588880751,3633.08325195312,2515.03332519531,6,"HSP90AB1","0"
9,0,5535.07307942708,146559.055555556,3801.73974609375,2503.5,6,"EZR","0"
9,0,5400.09993489583,146386.138929579,3666.7666015625,2330.58337402344,6,"ANXA2","0"
9,0,5458.25569661458,146569.37769911,3724.92236328125,2513.82214355469,6,"PSAP","0"
9,0,5617.44563802083,146555.89307997,3884.1123046875,2500.33752441406,6,"PTK2","0"
9,0,5378.64778645833,146522.784071181,3645.314453125,2467.228515625,6,"SNAI2","0"
9,0,5367.99300130208,146571.995619032,3634.65966796875,2516.44006347656,6,"H4C3","0"
9,0,5361.29597981771,146423.26807997,3627.96264648438,2367.71252441406,6,"S100A6","Membrane"
9,0,5355.88338216146,146410.08057997,3622.55004882812,2354.52502441406,6,"S100A6","0"
9,0,5390.89998372396,146386.122328016,3657.56665039062,2330.56677246094,6,"S100A6","0"
9,0,5436.99300130208,146358.175550673,3703.65966796875,2302.61999511719,6,"CD80","0"
9,0,5418.14778645833,146394.755506727,3684.814453125,2339.19995117188,6,"AHI1","0"
9,0,5406.35335286458,146403.515516493,3673.02001953125,2347.9599609375,6,"CXCL1","Membrane"
9,0,5402.26643880208,146375.133192274,3668.93310546875,2319.57763671875,6,"PDGFA","0"
9,0,5645.55330403646,146569.775526259,3912.21997070312,2514.21997070312,6,"EZR","0"
9,0,5634.43318684896,146573.444471571,3901.09985351562,2517.88891601562,6,"SLC2A1","Membrane"
9,0,5499.23323567708,146588.975477431,3765.89990234375,2533.419921875,6,"CD24","Membrane"
9,0,5647.17805989583,146552.155653212,3913.8447265625,2496.60009765625,6,"RPL22","0"
9,0,5335.12215169271,146411.655531141,3601.78881835938,2356.09997558594,6,"CHI3L1","0"
9,0,5409.69344075521,146407.655531141,3676.36010742188,2352.09997558594,6,"S100A6","0"
9,0,5652.69026692708,146565.526991102,3919.35693359375,2509.97143554688,6,"VEGFA","0"
9,0,5640.96638997396,146582.222181532,3907.63305664062,2526.66662597656,6,"MALAT1","0"
9,0,5490.69051106771,146482.855482313,3757.35717773438,2427.29992675781,6,"HSPB1","0"
9,0,5431.38338216146,146477.380628798,3698.05004882812,2421.82507324219,6,"NPR3","Membrane"
9,0,5457.63338216146,146383.555555556,3724.30004882812,2328,6,"NDRG1","0"
9,0,5398.38338216146,146548.738783095,3665.05004882812,2493.18322753906,6,"LY6D","0"
9,0,5394.36336263021,146548.855604384,3661.03002929688,2493.30004882812,6,"OSMR","0"
9,0,5451.53328450521,146439.13538954,3718.19995117188,2383.57983398438,6,"S100A2","0"
9,0,5361.48860677083,146414.900037977,3628.1552734375,2359.34448242188,6,"IER3","0"
9,0,5415.23323567708,146549.605482313,3681.89990234375,2494.04992675781,6,"HSPB1","0"
9,0,5425.23347981771,146411.20557997,3691.90014648438,2355.65002441406,6,"HSPB1","0"
9,0,5309.59993489583,146623.605482313,3576.2666015625,2568.04992675781,6,"KRAS","0"
9,0,5627.37093098958,146571.51807997,3894.03759765625,2515.96252441406,6,"ST6GAL1","0"
9,0,5424.51350911458,146432.975477431,3691.18017578125,2377.419921875,6,"SLPI","0"
9,0,5438.25325520833,146493.775526259,3704.919921875,2438.21997070312,6,"NDRG1","0"
9,0,5341.37312825521,146416.415662977,3608.03979492188,2360.86010742188,6,"KRT23","0"
9,0,5426.17317708333,146359.13538954,3692.83984375,2303.57983398438,6,"MT2A","0"
9,0,5445.61336263021,146453.555555556,3712.28002929688,2398,6,"CCL20","0"
9,0,5192.35139973958,146432.646497938,3459.01806640625,2377.09094238281,6,"IFI27","0"
9,0,5356.50008138021,146401.538831923,3623.16674804688,2345.98327636719,6,"ANXA2","0"
9,0,5469.61678059896,146396.655653212,3736.28344726562,2341.10009765625,6,"CD74","0"
9,0,5474.11653645833,146401.938856337,3740.783203125,2346.38330078125,6,"HSP90AB1","0"
9,0,5469.90852864583,146522.630506727,3736.5751953125,2467.07495117188,6,"MT1X","0"
9,0,5367.30598958333,146463.782850477,3633.97265625,2408.22729492188,6,"BIRC5","0"
9,0,5628.49007161458,146555.784193251,3895.15673828125,2500.22863769531,6,"VEGFA","Nuclear"
9,0,5523.95833333333,146592.343031141,3790.625,2536.78747558594,6,"S100A4","Membrane"
9,0,5433.33333333333,146458.230604384,3700,2402.67504882812,6,"NLRP1","0"
9,0,5439.90486653646,146411.312757704,3706.57153320312,2355.75720214844,6,"S100A4","0"
9,0,5715.71931966146,146599.069837782,3982.38598632812,2543.51428222656,6,"SPRY2","Nuclear"
9,0,5199.01131184896,146558.133314345,3465.67797851562,2502.57775878906,6,"ANXA2","0"
9,0,5437.27327473958,146546.635633681,3703.93994140625,2491.080078125,6,"RPL32","0"
9,0,5397.46199544271,146409.41273329,3664.12866210938,2353.85717773438,6,"HSP90B1","0"
9,0,5417.09358723958,146557.495619032,3683.76025390625,2501.94006347656,6,"ALCAM","0"
9,0,5363.14754231771,146586.884046766,3629.81420898438,2531.32849121094,6,"SPRY4","0"
9,0,5426.60847981771,146380.880506727,3693.27514648438,2325.32495117188,6,"PTGDR2","0"
