"","transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
"799",281474976961383,67521,1,"Gucy1a1",4916.4717,6411.9614,14.663126,40
"800",281474976961425,67527,1,"Neurod6",4918.662,6417.838,15.80776,23.443071
"801",281474976961435,67521,0,"Mapk4",4919.315,6411.1226,17.307955,8.761773
"802",281474976961436,67515,0,"Neurod6",4919.4365,6401.4814,15.757549,40
"803",281474976969991,67501,0,"Arc",4900.0615,6400.6094,14.85271,40
"804",281474976970012,67500,1,"Id2",4900.8774,6411.423,16.627844,40
"805",281474976970029,67500,1,"Satb2",4901.991,6408.452,17.183062,40
"806",281474976970082,67500,1,"Id2",4904.4946,6410.078,15.575044,14.696887
"807",281474976970095,67500,1,"Necab1",4905.2324,6411.174,16.73021,19.01902
"808",281474976970108,67500,0,"Arc",4905.9453,6408.0215,17.346518,23.5314
"809",281474976970111,67500,0,"Satb2",4906.0337,6410.2163,17.999018,22.153734
"810",281474976970112,67515,0,"Arc",4906.101,6401.3335,16.524628,17.868374
"811",281474976970113,67500,0,"Arc",4906.084,6415.201,17.375286,30.676739
"812",281474976970147,67512,0,"Arc",4908.1406,6407.158,18.411116,40
"813",281474976970156,67512,0,"Ppp1r1b",4908.458,6414.3203,16.38449,15.008084
"814",281474976970231,67512,1,"Satb2",4911.5483,6409.5977,20.039747,21.854868
"815",281474976970280,67512,1,"Necab1",4913.349,6413.2007,18.660429,23.42315
"816",281474976970286,67512,1,"Arc",4913.7017,6411.9814,18.599201,40
"817",281474976970291,67515,1,"Arc",4914.0547,6407.7637,16.610937,40
"818",281474976970295,67515,1,"Satb2",4914.304,6411.873,19.21972,40
"819",281474976970297,67515,1,"Ppp1r1b",4914.3975,6409.2793,16.092623,21.799477
"820",281474976970301,67515,1,"Satb2",4914.5293,6408.4272,15.2693815,21.854868
"821",281474976970320,67521,1,"Arc",4915.2437,6417.9585,17.852213,12.851835
"822",281474976970326,67515,1,"Id2",4915.5513,6408.223,17.510933,40
"823",281474976970337,67515,1,"Id2",4916.021,6406.935,17.336817,40
"824",281474976970356,67521,1,"Satb2",4916.6367,6417.5737,18.430285,21.96108
"825",281474976970357,67521,1,"Necab1",4916.724,6416.301,14.330937,10.082233
"826",281474976970370,67515,0,"Cabp7",4917.317,6403.732,17.163536,19.615234
"827",281474976970383,67515,0,"Arc",4918.016,6408.9067,15.347641,16.551737
"828",281474976970388,67521,1,"Id2",4918.088,6415.2734,15.805231,40
"829",281474976970400,67515,0,"Ppp1r1b",4918.775,6406.188,14.578224,40
"830",281474976970402,67521,0,"Id2",4918.8345,6409.1997,15.636212,14.696887
"831",281474976970418,67521,0,"Arc",4919.5547,6410.188,17.890343,40
"832",281474976970429,67527,1,"Satb2",4919.911,6414.8496,15.888452,40
"833",281474976970431,67521,1,"Necab1",4919.9746,6412.8057,17.517254,40
"834",281474976979499,67500,1,"Rims3",4901.465,6412.9653,15.731491,19.882236
"835",281474976979505,67500,1,"Plcxd2",4902.006,6414.8965,18.482458,14.557189
"836",281474976979515,67500,1,"Cpne4",4902.851,6409.555,17.361513,40
"837",281474976979523,67500,1,"Cpne4",4903.001,6415.421,17.736689,40
"838",281474976979531,67500,1,"Cdh6",4903.7354,6409.7305,18.822561,40
"839",281474976979532,67500,1,"Rims3",4904.0796,6411.211,19.321117,18.463543
"840",281474976979549,67500,0,"Plcxd2",4905.2134,6405.8057,17.867695,40
"841",281474976979569,67512,0,"Plcxd2",4906.2725,6405.867,16.295307,40
"842",281474976979583,67512,0,"Plcxd2",4906.9946,6411.2227,17.640451,40
"843",281474976979588,67512,0,"Cpne4",4907.265,6413.0337,16.932,40
"844",281474976979595,67512,0,"Rims3",4907.9614,6412.5034,18.110516,30.823961
"845",281474976979601,67512,0,"Pdzrn3",4908.432,6414.316,17.321774,40
"846",281474976979605,67512,0,"Rims3",4908.6807,6416.113,14.94962,40
"847",281474976979610,67515,0,"Plcxd2",4909.099,6402.97,16.012918,13.5009165
"848",281474976979613,67512,1,"Rims3",4909.167,6413.5176,16.94314,40
"849",281474976979630,67512,1,"Plcxd2",4910.292,6413.5957,17.30327,40
"850",281474976979637,67512,1,"Rims3",4910.5156,6409.3213,17.45264,40
"851",281474976979660,67512,1,"Rims3",4911.868,6411.5806,18.21287,40
"852",281474976979664,67515,1,"Rims3",4912.092,6406.5767,16.363777,40
"853",281474976979696,67521,1,"Rims3",4915.126,6418.3823,17.39118,21.660982
"854",281474976979716,67515,1,"Rims3",4916.403,6409.298,17.153975,40
"855",281474976979720,67521,1,"Opalin",4916.6147,6418.554,18.564898,30.823961
"856",281474976985136,67500,1,"Igsf21",4900.6377,6408.2085,19.063229,40
"857",281474976985138,67500,0,"Prr16",4900.706,6417.775,17.141838,22.253456
"858",281474976985161,67500,0,"Pde7b",4907.467,6419.3545,16.032827,40
"859",281474976985174,67515,0,"Pde7b",4912.427,6404.901,14.539035,40
"860",281474976988210,67500,0,"Igfbp5",4900.7515,6416.8413,17.255262,23.418076
"861",281474976988218,67500,1,"Garnl3",4901.35,6412.7056,19.342577,9.685756
"862",281474976988221,67500,1,"Pvalb",4901.508,6408.3315,14.703397,14.190089
"863",281474976988224,67500,1,"Igfbp5",4901.673,6411.961,16.28733,19.903566
"864",281474976988230,67500,1,"Mapk4",4902.104,6415.427,17.538784,40
"865",281474976988240,67500,1,"Rspo1",4902.9985,6414.335,16.852287,40
"866",281474976988244,67500,1,"Garnl3",4903.1484,6412.7324,18.557684,26.507923
"867",281474976988266,67500,1,"Pvalb",4904.2417,6409.651,15.96237,40
"868",281474976988276,67500,0,"Rspo1",4905.2544,6404.0845,16.109715,40
"869",281474976988306,67500,0,"Garnl3",4906.8164,6410.838,17.662983,40
"870",281474976988394,67515,1,"Crh",4911.0547,6407.255,17.59861,40
"871",281474976988407,67512,1,"Crh",4912.1084,6413.528,17.514677,40
"872",281474976988446,67515,1,"Dpy19l1",4913.868,6410.866,17.009735,24.408794
"873",281474976988457,67515,0,"Dpy19l1",4914.624,6405.0244,15.385832,40
"874",281474976988463,67515,0,"Slc39a12",4914.8745,6402.4,14.658789,40
"875",281474976988468,67515,1,"Dpy19l1",4915.1357,6408.6787,19.872614,40
"876",281474976988477,67515,0,"Dpy19l1",4915.3247,6412.477,16.67445,23.427874
"877",281474976988485,67515,0,"Slc39a12",4915.675,6401.72,14.65637,40
"878",281474976988488,67515,1,"Mapk4",4915.7856,6407.5767,17.731121,40
"879",281474976988505,67515,0,"Rspo1",4916.7134,6405.788,14.5624485,40
"880",281474976988506,67515,1,"Crh",4916.685,6408.951,17.123735,40
"881",281474976988509,67521,0,"Mapk4",4916.776,6419.709,18.548956,23.86418
"882",281474976988522,67521,0,"Dpy19l1",4917.627,6419.5156,16.493824,17.409811
"883",281474976988533,67527,0,"Pou3f1",4918.3516,6417.6665,17.780144,18.825117
"884",281474976988549,67521,0,"Dpy19l1",4918.9683,6415.787,19.496708,40
"885",281474976997006,67500,1,"Pde7b",4900.047,6411.306,16.807823,40
"886",281474976997019,67500,1,"Trpc4",4900.954,6416.1147,18.639309,40
"887",281474976997021,67501,0,"Kcnh5",4901.2627,6400.3813,15.515549,40
"888",281474976997035,67500,0,"Pde7b",4902.3125,6406.897,16.813469,40
"889",281474976997042,67500,1,"Calb1",4902.7866,6410.764,19.47888,9.405522
"890",281474976997059,67500,1,"Nrep",4904.436,6411.143,16.584423,40
"891",281474976997086,67500,0,"Rfx4",4905.8145,6413.08,18.10801,40
"892",281474976997111,67515,0,"Kcnh5",4907.758,6400.5186,16.656666,40
"893",281474976997140,67512,1,"Nrep",4909.8735,6411.7637,17.826944,40
"894",281474976997168,67512,0,"Pde7b",4911.235,6415.6196,17.674307,34.664646
"895",281474976997194,67515,1,"Nrep",4912.3193,6405.7056,17.936535,40
"896",281474976997207,67521,0,"Slc17a6",4912.936,6415.4062,15.707711,30.772257
"897",281474976997212,67515,1,"Nrep",4913.161,6405.2314,16.61533,29.319859
"898",281474976997219,67512,1,"Pde7b",4913.5186,6411.946,16.905455,40
"899",281474976997228,67515,1,"Slc17a6",4914.213,6409.466,20.145813,40
"900",281474976997238,67521,1,"Pde7b",4914.7393,6414.632,15.599459,27.416153
"901",281474976997296,67515,0,"Pde7b",4918.9253,6403.3716,14.872265,40
"902",281474976997300,67527,1,"Pde7b",4919.2397,6415.8604,16.6142,40
"903",281474976997311,67527,0,"Nrep",4919.959,6414.3833,15.678633,40
"904",281474977004189,67500,1,"Epha4",4904.0537,6408.6157,17.834988,23.460363
"905",281474977004192,67500,1,"Myo16",4904.3154,6410.687,18.620262,40
"906",281474977004208,67500,0,"Epha4",4905.4307,6414.9795,16.514446,40
"907",281474977004233,67512,0,"Rmst",4907.6987,6406.2153,15.192101,40
"908",281474977004255,67512,0,"Epha4",4908.9736,6413.9917,18.030323,16.522789
"909",281474977004261,67512,1,"Epha4",4909.242,6408.451,18.052532,40
"910",281474977004271,67512,0,"Acsbg1",4909.9463,6417.8,14.217833,40
"911",281474977004310,67512,1,"Myl4",4912.34,6413.671,17.767536,40
"912",281474977004365,67521,1,"Rmst",4916.1885,6414.825,20.570032,40
"913",281474977004378,67521,0,"Epha4",4917.02,6418.7886,17.352114,30.72406
"914",281474977004389,67515,0,"Acsbg1",4917.7837,6401.8237,14.234922,40
"915",281474977004390,67521,0,"Rmst",4917.695,6419.4966,19.061644,40
"916",281474977004415,67527,0,"Rmst",4919.4355,6418.9966,16.344885,12.269929
"917",281474977011603,67500,1,"Sema3a",4900.3374,6413.1934,16.869461,23.666697
"918",281474977011614,67500,1,"Tle4",4901.1714,6412.2876,16.31887,40
"919",281474977011624,67500,0,"Sema3a",4902.3213,6402.107,16.180084,40
"920",281474977011647,67500,1,"Pip5k1b",4904.966,6413.6587,16.78237,9.429207
"921",281474977011649,67500,1,"Bhlhe40",4905.052,6410.8174,18.085289,40
"922",281474977011659,67500,0,"Pip5k1b",4905.7705,6406.0835,16.753424,22.01732
"923",281474977011667,67500,0,"Sema3a",4906.1694,6408.2363,16.350819,40
"924",281474977011677,67500,0,"Pip5k1b",4906.795,6413.8975,15.198187,40
"925",281474977011695,67512,0,"Bhlhe40",4908.3857,6417.823,16.9847,40
"926",281474977011716,67512,1,"Dpy19l1",4910.2275,6408.1934,18.360584,40
"927",281474977011717,67512,1,"Pip5k1b",4910.219,6409.1245,16.760693,19.468655
"928",281474977011748,67512,1,"Pip5k1b",4912.4023,6411.4385,16.42284,40
"929",281474977011750,67515,1,"Dpy19l1",4912.47,6407.437,17.517906,23.188745
"930",281474977011764,67521,0,"Pip5k1b",4913.383,6414.9595,15.245819,22.01732
"931",281474977011765,67515,1,"Pip5k1b",4913.456,6409.6772,18.419018,40
"932",281474977011776,67515,1,"Galnt14",4914.219,6411.3604,17.083574,40
"933",281474977011783,67515,1,"Bhlhe40",4914.802,6409.4307,16.459867,40
"934",281474977011789,67521,1,"Dpy19l1",4915.0854,6414.5635,15.951471,40
"935",281474977011825,67515,0,"Dpy19l1",4918.0356,6406.2837,14.913825,20.802876
"936",281474977011842,67527,1,"Dpy19l1",4919.5005,6416.883,16.65154,40
"937",281474977018194,67521,1,"Neurod6",4917.3594,6413.788,14.620279,40
"938",281474977018210,67527,1,"Neurod6",4919.268,6416.068,16.37866,14.99772
"939",281474977018216,67521,0,"Kctd12",4919.6816,6411.2705,17.340525,40
"940",281474977022409,67500,1,"Hat1",4902.4937,6412.795,15.984677,40
"941",281474977022459,67515,0,"Penk",4912.085,6403.357,16.405043,17.44705
"942",281474977022466,67515,0,"Penk",4913.1855,6402.6416,16.173586,22.426336
"943",281474977022468,67515,1,"Lypd6",4913.476,6409.868,15.666707,40
