"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"249",2,329,10088.4112684462,140030.811079237,2882.85571289062,3275.25552368164,5,"CDKN3","Membrane"
"250",2,329,10097.1554090712,140038.688886854,2891.59985351562,3283.13333129883,5,"CDKN1A","Cytoplasm"
"251",2,329,10085.0057508681,140059.20557997,2879.4501953125,3303.65002441406,5,"OXGR1","Membrane"
"252",2,329,10098.4723036024,140041.338880751,2892.91674804688,3285.78332519531,5,"MALAT1","Cytoplasm"
"253",2,329,10094.6756727431,140086.475568983,2889.1201171875,3330.92001342773,5,"GPX1","Nuclear"
"254",2,329,10087.4056532118,140098.480543349,2881.85009765625,3342.92498779297,5,"NDRG1","Cytoplasm"
"255",2,329,10097.5985243056,140092.426954481,2892.04296875,3336.87139892578,5,"CALM2","Nuclear"
"256",2,329,10092.5887586806,140051.02223036,2887.033203125,3295.46667480469,5,"HSP90AA1","Cytoplasm"
"257",2,329,10087.9557020399,140054.155592177,2882.40014648438,3298.60003662109,5,"STAT6","Membrane"
"258",2,329,10088.4757215712,140078.215559218,2882.92016601562,3322.66000366211,5,"IFITM3","Membrane"
"259",2,329,10089.3158094618,140061.515577528,2883.76025390625,3305.96002197266,5,"PSAP","Membrane"
"260",2,329,10096.0355360243,140038.995557997,2890.47998046875,3283.44000244141,5,"PROKR1","Cytoplasm"
"261",2,329,10096.5555555556,140042.384138319,2891,3286.82858276367,5,"COL9A1","Cytoplasm"
"262",2,329,10097.1429578993,140064.730543349,2891.58740234375,3309.17498779297,5,"SLPI","Nuclear"
"263",2,329,10077.1805555556,140078.605543349,2871.625,3323.04998779297,5,"MZT2A","Cytoplasm"
"264",2,329,10093.8556043837,140031.47221205,2888.30004882812,3275.91665649414,5,"SMO","Membrane"
"265",2,329,10095.8355848524,140080.955549452,2890.28002929688,3325.39999389648,5,"MIF","Nuclear"
"266",2,329,10084.8980848524,140069.298414442,2879.34252929688,3313.74285888672,5,"HSP90AB1","Membrane"
"267",2,329,10097.7057020399,140074.430555556,2892.15014648438,3318.875,5,"TUBB4B","Nuclear"
"268",2,329,10074.5777723524,140089.433332655,2869.02221679688,3333.87777709961,5,"CD68","Membrane"
"269",2,329,10087.5304090712,140097.605543349,2881.97485351562,3342.04998779297,5,"NDRG1","Cytoplasm"
"270",2,329,10099.9954969618,140066.975538466,2894.43994140625,3311.41998291016,5,"H4C3","Nuclear"
"271",2,329,10096.8441297743,140087.977796766,2891.28857421875,3332.42224121094,5,"CRP","Nuclear"
"272",2,329,10097.2889539931,140066.822248671,2891.7333984375,3311.26669311523,5,"TNFRSF9","Nuclear"
"273",2,329,10096.7555067274,140079.405531141,2891.19995117188,3323.84997558594,3,"HSP90AB1","Nuclear"
"274",2,329,10085.3304578993,140041.780561659,2879.77490234375,3286.22500610352,3,"CHEK1","Membrane"
"275",2,329,10098.6305067274,140035.555555556,2893.07495117188,3280,3,"ETS1","Membrane"
"276",2,329,10092.7755262587,140034.555555556,2887.21997070312,3279,3,"MZT2A","Cytoplasm"
"277",2,329,10093.2413465712,140026.384138319,2887.68579101562,3270.82858276367,3,"MZT2A","Membrane"
"278",2,329,10088.7682020399,140092.143049452,2883.21264648438,3336.58749389648,3,"STMN1","Cytoplasm"
"279",2,329,10087.5223524306,140062.22221205,2881.966796875,3306.66665649414,3,"HLA-B","Membrane"
"280",2,329,10093.9557020399,140091.188886854,2888.40014648438,3335.63333129883,3,"EIF5A","Nuclear"
"281",2,329,10091.6444227431,140091.566663954,2886.0888671875,3336.01110839844,3,"TUBB","Nuclear"
